title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
"The 2005 Economic and Product Market Databook for Natal, Brazil",,business__economics,First published in 2005,/works/OL10368487M,,//covers.openlibrary.org/b/olid/OL10368487M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Patos de Minas, Brazil",,business__economics,First published in 2005,/works/OL10368605M,,//covers.openlibrary.org/b/olid/OL10368605M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Rio Branco, Brazil",,business__economics,First published in 2005,/works/OL10368743M,,//covers.openlibrary.org/b/olid/OL10368743M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Meymaneh, Afghanistan",,business__economics,First published in 2005,/works/OL10368393M,,//covers.openlibrary.org/b/olid/OL10368393M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Yokohama, Japan",,business__economics,First published in 2005,/works/OL10369196M,,//covers.openlibrary.org/b/olid/OL10369196M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Muscat, Oman",,business__economics,First published in 2005,/works/OL10368189M,,//covers.openlibrary.org/b/olid/OL10368189M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Yekaterinburg, Russia",,business__economics,First published in 2005,/works/OL10369191M,,//covers.openlibrary.org/b/olid/OL10369191M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Luanshya, Zambia",,business__economics,First published in 2005,/works/OL10368210M,,//covers.openlibrary.org/b/olid/OL10368210M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Mahalapye, Botswana",,business__economics,First published in 2005,/works/OL10368243M,,//covers.openlibrary.org/b/olid/OL10368243M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Tanglin, Singapore",,business__economics,First published in 2005,/works/OL10368996M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Puebla, Mexico",,business__economics,First published in 2005,/works/OL10368690M,,//covers.openlibrary.org/b/olid/OL10368690M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Messina, Italy",,business__economics,First published in 2005,/works/OL10368390M,,//covers.openlibrary.org/b/olid/OL10368390M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Tabligbo, Togo",,business__economics,First published in 2005,/works/OL10368357M,,//covers.openlibrary.org/b/olid/OL10368357M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Tokushima, Japan",,business__economics,First published in 2005,/works/OL10369045M,,//covers.openlibrary.org/b/olid/OL10369045M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Tabora, Tanzania",,business__economics,First published in 2005,/works/OL10368359M,,//covers.openlibrary.org/b/olid/OL10368359M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Mayaguez, Puerto Rico",,business__economics,First published in 2005,/works/OL10368328M,,//covers.openlibrary.org/b/olid/OL10368328M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Toyohashi, Japan",,business__economics,First published in 2005,/works/OL10369059M,,//covers.openlibrary.org/b/olid/OL10369059M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Marikina, Philippines",,business__economics,First published in 2005,/works/OL10368279M,,//covers.openlibrary.org/b/olid/OL10368279M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Sevilla, Spain",,business__economics,First published in 2005,/works/OL10368891M,,//covers.openlibrary.org/b/olid/OL10368891M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Stockholm, Sweden",,business__economics,First published in 2005,/works/OL10368946M,,//covers.openlibrary.org/b/olid/OL10368946M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Sylhet, Bangladesh",,business__economics,First published in 2005,/works/OL10368965M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Qormi, Malta",,business__economics,First published in 2005,/works/OL10368708M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Nanyuki, Kenya",,business__economics,First published in 2005,/works/OL10368477M,,//covers.openlibrary.org/b/olid/OL10368477M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Maracay, Venezuela",,business__economics,First published in 2005,/works/OL10368273M,,//covers.openlibrary.org/b/olid/OL10368273M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Port Gentil, Gabon",,business__economics,First published in 2005,/works/OL10368660M,,//covers.openlibrary.org/b/olid/OL10368660M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Takasaki, Japan",,business__economics,First published in 2005,/works/OL10368988M,,//covers.openlibrary.org/b/olid/OL10368988M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Saint Laurent, French Guiana",,business__economics,First published in 2005,/works/OL10368350M,,//covers.openlibrary.org/b/olid/OL10368350M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Sidi-Bel-Abbes, Algeria",,business__economics,First published in 2005,/works/OL10368911M,,//covers.openlibrary.org/b/olid/OL10368911M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Nouakchott, Mauritania",,business__economics,First published in 2005,/works/OL10368526M,,//covers.openlibrary.org/b/olid/OL10368526M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Uruguaiana, Brazil",,business__economics,First published in 2005,/works/OL10369106M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Rio de Janeiro, Brazil",,business__economics,First published in 2005,/works/OL10368340M,,//covers.openlibrary.org/b/olid/OL10368340M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Seloyang Baru, Malaysia",,business__economics,First published in 2005,/works/OL10368871M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Nagpur, India",,business__economics,First published in 2005,/works/OL10368463M,,//covers.openlibrary.org/b/olid/OL10368463M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Recife, Brazil",,business__economics,First published in 2005,/works/OL10368728M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Oita, Japan",,business__economics,First published in 2005,/works/OL10368547M,,//covers.openlibrary.org/b/olid/OL10368547M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Tutume, Botswana",,business__economics,First published in 2005,/works/OL10369086M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Teck Ghee, Singapore",,business__economics,First published in 2005,/works/OL10369013M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Riyadh, Saudi Arabia",,business__economics,First published in 2005,/works/OL10368344M,,//covers.openlibrary.org/b/olid/OL10368344M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Valera, Venezuela",,business__economics,First published in 2005,/works/OL10369118M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Malabon, Philippines",,business__economics,First published in 2005,/works/OL10368250M,,//covers.openlibrary.org/b/olid/OL10368250M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Semipalatinsk, Kazakhstan",,business__economics,First published in 2005,/works/OL10368875M,,//covers.openlibrary.org/b/olid/OL10368875M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Steyr, Austria",,business__economics,First published in 2005,/works/OL10368945M,,//covers.openlibrary.org/b/olid/OL10368945M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Tucheng, Taiwan",,business__economics,First published in 2005,/works/OL10369079M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for West Bay, Cayman Islands",,business__economics,First published in 2005,/works/OL10369169M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Mymensingh, Bangladesh",,business__economics,First published in 2005,/works/OL10368454M,,//covers.openlibrary.org/b/olid/OL10368454M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for San Jose, Costa Rica",,business__economics,First published in 2005,/works/OL10368792M,,//covers.openlibrary.org/b/olid/OL10368792M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Tema, Ghana",,business__economics,First published in 2005,/works/OL10368368M,,//covers.openlibrary.org/b/olid/OL10368368M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Nyiregyha, Hungary",,business__economics,First published in 2005,/works/OL10368540M,,//covers.openlibrary.org/b/olid/OL10368540M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Muharraq, Bahrain",,business__economics,First published in 2005,/works/OL10368447M,,//covers.openlibrary.org/b/olid/OL10368447M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Mingechaur, Azerbaijan",,business__economics,First published in 2005,/works/OL10368401M,,//covers.openlibrary.org/b/olid/OL10368401M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Sittwe, Burma",,business__economics,First published in 2005,/works/OL10368922M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Niigata, Japan",,business__economics,First published in 2005,/works/OL10368513M,,//covers.openlibrary.org/b/olid/OL10368513M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Rio Claro, Brazil",,business__economics,First published in 2005,/works/OL10368339M,,//covers.openlibrary.org/b/olid/OL10368339M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Pigg's Peak, Swaziland",,business__economics,First published in 2005,/works/OL10368635M,,//covers.openlibrary.org/b/olid/OL10368635M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Mbaiki, Central African Republic",,business__economics,First published in 2005,/works/OL10368333M,,//covers.openlibrary.org/b/olid/OL10368333M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Sasebo, Japan",,business__economics,First published in 2005,/works/OL10368856M,,//covers.openlibrary.org/b/olid/OL10368856M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Stuttgart, Germany",,business__economics,First published in 2005,/works/OL10368947M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Schaan, Liechtenstein",,business__economics,First published in 2005,/works/OL10368862M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Mouila, Gabon",,business__economics,First published in 2005,/works/OL10368441M,,//covers.openlibrary.org/b/olid/OL10368441M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Nampo, North Korea",,business__economics,First published in 2005,/works/OL10368207M,,//covers.openlibrary.org/b/olid/OL10368207M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Porto-Novo, Benin",,business__economics,First published in 2005,/works/OL10368673M,,//covers.openlibrary.org/b/olid/OL10368673M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Mbuji-Mayi, Congo (formerly Zaire)",,business__economics,First published in 2005,/works/OL10368374M,,//covers.openlibrary.org/b/olid/OL10368374M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Nouadhibou, Mauritania",,business__economics,First published in 2005,/works/OL10368525M,,//covers.openlibrary.org/b/olid/OL10368525M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Sagamihara, Japan",,business__economics,First published in 2005,/works/OL10368761M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Santa Rita, Guam",,business__economics,First published in 2005,/works/OL10368823M,,//covers.openlibrary.org/b/olid/OL10368823M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Tamuning, Guam",,business__economics,First published in 2005,/works/OL10368993M,,//covers.openlibrary.org/b/olid/OL10368993M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Yao, Japan",,business__economics,First published in 2005,/works/OL10369188M,,//covers.openlibrary.org/b/olid/OL10369188M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Loubomo, Republic of Congo",,business__economics,First published in 2005,/works/OL10368205M,,//covers.openlibrary.org/b/olid/OL10368205M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Sokoto, Nigeria",,business__economics,First published in 2005,/works/OL10368932M,,//covers.openlibrary.org/b/olid/OL10368932M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Lushnje, Albania",,business__economics,First published in 2005,/works/OL10368219M,,//covers.openlibrary.org/b/olid/OL10368219M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Surat, India",,business__economics,First published in 2005,/works/OL10368959M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Virginia Beach, United States",,business__economics,First published in 2005,/works/OL10369148M,,//covers.openlibrary.org/b/olid/OL10369148M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Natitingou, Benin",,business__economics,First published in 2005,/works/OL10368488M,,//covers.openlibrary.org/b/olid/OL10368488M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Phuntsholing, Bhutan",,business__economics,First published in 2005,/works/OL10368633M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Sekondi-Takoradi, Ghana",,business__economics,First published in 2005,/works/OL10368869M,,//covers.openlibrary.org/b/olid/OL10368869M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Villahermosa, Mexico",,business__economics,First published in 2005,/works/OL10369143M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Toyama, Japan",,business__economics,First published in 2005,/works/OL10369058M,,//covers.openlibrary.org/b/olid/OL10369058M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
